date,inf_pH,inf_temp,inf_CODt,inf_CODs,inf_TKN,inf_NH4N,inf_TS,inf_VS,acid_pH,acid_temp,acid_CODt,acid_CODs,acid_TKN,acid_NH4N,acid_TS,acid_VS,meth_pH,meth_temp,meth_CODt,meth_CODs,meth_TKN,meth_NH4N,meth_TS,meth_VS,biogas_flow_m3d
01/04/2025,7.62,25.9,64217,24797,2198,1243,33999,27045,5.44,25.9,52223,32771,2258,1495,28984,23004,6.97,26,18509,7169,2035,1480,18694,12312,200.73
04/04/2025,6.94,28.6,78947,34032,1933,1215,44044,31948,5.32,29.2,70319,51858,1945,1296,39673,24529,7.16,29.3,30712,10993,1665,1258,29379,14827,249.66
08/04/2025,6.96,26.8,65382,21311,2691,2028,35109,28226,5.85,26.8,53348,34587,2766,2244,28971,23492,6.9,26.8,18223,7028,2509,2384,17504,10716,171.16
11/04/2025,6.84,28.3,68754,21823,1962,1084,37935,29630,5.4,28.7,56387,26833,1840,1177,33475,26272,6.86,28.6,29803,8113,1665,1303,24376,16235,150.52
15/04/2025,6.98,27.2,59728,17654,2212,1369,32222,25158,5.46,28,47304,32008,2167,1476,29478,20281,7.26,27.9,19405,6246,1880,1415,18089,10182,169.13
18/04/2025,7.08,29.7,67265,22328,2282,1505,29811,21432,5.49,29.8,56361,29303,2166,1591,27618,16831,7.09,29.8,24246,6822,1855,1719,17749,9340,193.4
22/04/2025,7.37,27.9,76231,27020,2326,1745,32139,23072,5.88,28.8,68423,42975,2322,1817,29159,20212,7.21,28.6,21537,8019,2241,1853,21746,9449,211.96
25/04/2025,6.95,29.7,80000,25710,2003,1221,43119,34623,5.31,30.4,66501,38799,1872,1407,36007,29824,7.15,30.6,24109,9387,1773,1436,20961,17696,241.8
29/04/2025,7.66,29.6,72667,32275,2409,1764,40047,31496,6.02,29.8,57285,41020,2252,2011,36546,27718,7.02,30,22699,8050,2146,1958,26399,13362,230.77
02/05/2025,7.09,29.6,70700,24053,1881,1281,37925,26565,6.06,29.9,57563,36020,1853,1358,35947,23617,7.03,30.4,23589,11808,1737,1305,23756,14656,248.64
06/05/2025,7.66,29.8,77506,23996,2013,1562,38043,30609,5.9,30.4,69052,46925,1882,1700,31437,22984,6.88,31,30132,14534,1790,1700,19411,14865,208.73
09/05/2025,7.39,30.7,66299,26643,2159,1607,31319,25298,5.74,31.5,52370,34469,2166,1803,26142,21349,7.15,31.9,17541,5849,2071,1871,15711,10214,268.02
13/05/2025,6.87,30.5,78987,26744,1599,1146,43466,30879,5.69,31,70991,46737,1494,1223,40054,27499,7.06,31.5,32684,11268,1342,1275,27731,13999,203.13
16/05/2025,7.64,30.6,74093,26587,1921,1174,31342,24763,5.85,30.8,66953,40524,1814,1311,26751,19362,7.35,31,28925,9253,1721,1372,17645,12260,188.56
20/05/2025,7.08,30.3,73136,32038,2039,1515,32196,24552,5.9,30.3,62256,42205,2097,1669,29102,20002,7.18,30.7,26648,10550,2052,1830,19650,12633,207.73
23/05/2025,6.95,32.7,58734,23051,2032,1557,32954,26696,5.47,33.4,48536,33954,2081,1867,30137,21031,7.25,33.7,18053,6393,1886,1792,21004,11045,247.43
27/05/2025,7.49,29.1,69381,22039,2347,1557,34230,28024,5.92,29.9,61927,38866,2400,1915,32360,22640,7.44,29.7,18554,7132,2334,1898,22976,11972,205.1
30/05/2025,7.05,31.1,59161,18737,2579,1451,31934,26090,6.03,31.2,49927,33374,2546,1685,26516,21226,6.88,31.6,18196,8522,2426,1700,18803,10293,198.08
03/06/2025,7.34,30.9,62334,21955,1535,847,33380,23268,5.56,31.5,54047,31194,1481,975,28016,17554,7.36,31.6,27280,5867,1412,952,18088,11071,146.01
06/06/2025,7.03,33.7,69385,29308,1747,1214,30072,23931,5.44,34.3,57879,35604,1633,1478,25635,18959,7.25,34.6,22337,8353,1404,1334,15027,11227,287.87
10/06/2025,7.13,32.5,63928,18587,1598,1037,30235,21710,5.86,32.8,50383,32831,1553,1145,25495,18595,7.12,33.4,20799,6722,1502,1163,18159,10833,198.32
13/06/2025,6.82,31.3,54470,20877,2094,1222,25951,20912,5.58,31.4,49442,28508,2047,1484,24502,17790,7.33,31.3,15876,5811,1894,1608,16597,10960,166.09
17/06/2025,7.65,32.5,60908,23215,2274,1659,26053,19801,5.91,33.1,52651,34977,2157,1761,22166,16293,7.05,33.2,21126,8073,1998,1895,14182,9575,190.95
20/06/2025,7.53,31.2,61544,26334,2767,1907,30422,23582,5.58,31.9,55695,30351,2647,1987,27653,19759,6.89,32.1,21307,5635,2562,2059,16672,9988,166.13
24/06/2025,7,32.2,60839,17940,1901,1163,27033,21373,5.87,32.5,47716,31273,1923,1387,23664,16379,6.97,32.4,20645,6577,1654,1448,15285,9055,193.08
27/06/2025,7.66,30.5,55427,23023,2273,1494,23343,19078,5.86,31.1,49602,30349,2282,1696,20716,14857,6.87,31,21564,7673,2224,1763,12898,9067,155.82
01/07/2025,7.01,33.4,55507,22407,2096,1345,31272,25141,5.96,33.8,50594,31846,2058,1565,29143,21854,7.3,33.7,14770,6135,1794,1694,16978,11639,183.35
04/07/2025,7.41,32.6,58525,22883,1562,1085,32351,26514,5.76,33.1,48138,26658,1570,1200,26933,23556,6.93,33.6,19411,8357,1531,1280,19589,10937,213.72
08/07/2025,7.55,34.3,56584,23078,2325,1580,25817,17717,5.21,35.1,52355,30181,2167,1920,24013,13528,7.27,35.1,21214,6801,2070,1966,17324,7052,173.25
11/07/2025,7.02,31.1,72168,21560,2322,1687,41484,30257,5.56,31.9,62438,40072,2281,1983,35260,26976,7.33,32.1,27191,8879,2225,1972,20820,12801,245.08
15/07/2025,6.83,33.8,50000,20940,1456,1012,22986,17111,5.92,34.6,39379,24959,1448,1158,20983,14123,6.97,34.5,15613,8241,1272,1208,12499,8396,179.97
18/07/2025,6.97,31.3,70027,25776,1910,1128,33192,24007,6.16,31.8,62264,36784,1961,1249,28280,20605,6.86,32.3,24958,9952,1798,1387,19425,10750,249.56
22/07/2025,6.94,32,58535,26000,2088,1490,28669,20390,5.7,32.1,48621,29458,1974,1738,24780,17538,7.38,32.3,15364,5032,1847,1755,16334,11080,200.66
25/07/2025,7.35,30.2,67348,20647,2754,1967,37096,29663,5.54,30.7,59004,38729,2596,2134,33321,24212,7.3,30.9,26774,7162,2423,2254,21884,14332,223.43
29/07/2025,7.11,30,50000,21907,1773,1198,26622,21074,5.54,30.3,39435,31341,1725,1370,24856,18039,7.14,30.3,15903,5921,1689,1505,16223,10911,148.16
01/08/2025,6.84,33.4,50842,16190,1399,1030,22395,15789,5.87,34.1,47146,32040,1328,1222,20888,12982,7.29,34.5,15923,8062,1198,1138,13737,6086,184.91
05/08/2025,7.13,32.1,64025,25026,2054,1245,31051,23885,6.14,32.4,56060,38259,2018,1434,25582,18485,6.86,32.7,26969,8469,1972,1467,19034,11074,182.83
08/08/2025,6.96,30.9,53892,23929,1444,1068,29402,21473,5.31,31.6,42260,28542,1396,1190,24720,17863,6.93,31.6,17604,5275,1223,1162,17130,10750,161.68
12/08/2025,7.28,30.6,62404,25529,1812,1084,33682,25831,5.72,30.8,48815,32093,1827,1271,30214,22207,7.44,31.2,17501,8500,1739,1304,20207,11882,222.7
15/08/2025,7.02,33.1,71395,25999,1788,1268,35780,28137,6.02,33.9,56475,38235,1667,1359,29963,22870,6.9,34.5,20619,8179,1564,1331,17576,11838,263.86
19/08/2025,7.52,31.9,62649,26579,2056,1502,31901,22147,5.62,32.7,55119,38891,1991,1832,27822,19560,7.33,32.5,22079,9960,1716,1630,18235,9224,186.5
22/08/2025,7.43,31,73457,20825,1963,1421,32503,25714,5.25,31.5,59637,30451,1985,1488,28152,21684,7.22,31.9,20111,8898,1817,1415,16333,10041,234.5
26/08/2025,7.58,31.5,79356,34283,2728,1896,45139,36860,6.03,31.6,65404,46337,2569,2167,38992,28017,6.9,32.1,24280,9160,2309,2194,25816,15275,300.61
29/08/2025,7.34,30.6,71826,26716,2549,1802,34887,28341,5.96,31.4,60781,33086,2481,2059,31914,21712,7.11,31.3,23032,6480,2350,2070,19892,11079,211.21
02/09/2025,7.62,30.6,74268,25509,2608,1792,42336,33286,5.82,31.3,67240,42228,2672,2165,37494,25395,7.38,31.8,25281,11206,2548,2059,22473,15982,216.93
05/09/2025,7.12,31.9,64671,20030,2188,1355,29292,23481,5.79,32.3,56794,33744,2116,1536,25329,17649,7.11,32.3,25468,10297,1874,1637,18263,10531,233.11
09/09/2025,7.26,30.9,80000,24421,2026,1532,36813,28325,5.24,31.5,66498,31140,1904,1752,34478,23864,7.18,31.6,23992,6834,1619,1538,22302,11930,259.43
12/09/2025,6.85,30,64118,19671,1542,1169,35455,26341,5.39,30.3,51521,28224,1513,1280,30287,22791,7.2,30.9,23462,7113,1287,1223,20900,10888,178.87
16/09/2025,7.09,30.3,79635,29700,2176,1237,43750,34946,5.23,30.8,73274,43714,2115,1360,36174,29242,7.43,31.1,29127,10705,1846,1420,24774,15229,259.81
19/09/2025,7.49,30.1,78870,30145,2717,1744,42175,33159,5.34,30.4,64144,41620,2676,2071,36609,28604,7.15,30.5,22192,9087,2355,2230,24074,17894,272.05
23/09/2025,6.88,29.8,78965,25759,2301,1633,35577,28349,5.42,29.8,73147,40988,2247,1720,29517,24911,7.19,30.1,29070,9691,2080,1829,19570,13484,201.17
26/09/2025,6.82,28.9,80000,33877,2352,1413,35426,27446,5.7,29.2,69093,47844,2203,1680,31711,24250,6.85,29.1,23618,8465,2107,1624,22519,12805,218.7
30/09/2025,7.68,29,67246,25991,1855,1340,34442,24513,5.95,29.5,53933,32730,1810,1665,31185,20055,6.86,29.4,20004,6420,1585,1506,20372,10422,182.57
03/10/2025,6.87,28.4,80000,25029,2085,1553,42603,29017,5.99,28.6,63282,38409,2041,1774,36947,24456,7.08,28.4,31097,9837,1749,1662,24075,13261,207.67
07/10/2025,7.3,29.7,70798,26020,2212,1327,39681,30508,5.71,30.4,61345,37136,2143,1568,33063,26925,6.95,30.3,20616,6864,1984,1643,21913,14807,196.87
10/10/2025,7.53,28.6,62899,21461,2642,1585,29388,23203,5.76,29.3,53285,33985,2707,1909,25261,17448,6.99,29.2,26520,7450,2562,2082,15346,10438,173.3
14/10/2025,7.65,28.7,71934,26263,2335,1580,33218,26852,6.06,29.3,60240,38035,2335,1730,30996,21357,6.88,29.1,20621,7719,2185,1738,22654,11213,211.8
17/10/2025,7.11,26,65554,19224,2398,1682,36438,29518,6.17,26.3,56015,31553,2463,1827,33071,25135,6.97,26.8,21167,9703,2269,1990,19686,11527,185.15
21/10/2025,6.94,28.6,60234,20636,1958,1490,26576,20117,5.61,29.4,47065,28856,1830,1684,25045,17951,7.13,29.4,19739,6902,1727,1641,17959,10055,208.45
24/10/2025,7.18,26.9,69942,24482,2850,1942,33577,25673,6.06,27.1,56780,33348,2877,2311,28094,20417,6.86,27.1,23313,8152,2807,2419,17314,10422,200.79
28/10/2025,7.23,26.6,58860,21651,2269,1272,32865,23639,5.24,27.5,54602,36758,2248,1488,26987,17916,7.22,27.6,22753,7883,2134,1616,19419,8956,139.46
31/10/2025,7.52,26.8,56812,21011,2428,1451,30073,23503,6.03,27.3,50153,30652,2444,1602,25073,20270,7.1,27.5,17313,7595,2292,1755,14708,9279,161.8
04/11/2025,6.95,27.5,54318,17503,1594,1091,23926,18145,6.19,27.5,46603,21696,1530,1300,21363,13912,7.21,27.3,16734,5252,1447,1373,13695,6331,144.35
07/11/2025,6.85,26.1,59309,23522,2229,1339,25386,20210,5.29,26.8,47130,35304,2272,1662,22836,17697,7.29,27.1,17729,9372,2162,1837,15038,8606,160.81
11/11/2025,7.62,26.9,53622,22984,1957,1410,23370,17763,6.12,27.5,46153,29873,1840,1495,19782,15186,7.4,27.9,19046,6815,1697,1432,11476,8814,120
14/11/2025,7.64,25.9,53267,15543,1560,880,29633,21592,5.73,26.6,45969,24257,1514,989,27375,16316,7.31,26.5,22527,6447,1451,942,18840,8191,120
18/11/2025,7.39,26,50000,19059,1763,1030,26841,21339,5.52,26.1,42186,26334,1750,1283,24997,16734,6.88,26.2,17071,5065,1701,1394,14881,9418,120
21/11/2025,7.5,26.6,54707,20718,1431,968,25644,19701,5.84,27.5,48257,25829,1411,1138,23462,15822,7.19,28,19194,5871,1365,1210,15469,10130,159.83
25/11/2025,7.48,23,50000,18425,2182,1684,24411,18115,5.31,23.5,39290,26329,2097,1929,22071,13697,6.93,23.5,14120,7417,2021,1847,15209,7536,126.85
28/11/2025,6.82,25.5,59454,19998,1644,1109,31884,21818,5.8,26.2,54400,29900,1532,1248,27816,18435,6.94,26.7,16230,6968,1407,1241,20121,9983,177.49
